Category,Keyword,Monthly Volume,CPC ($),Competition,KD (0-100),Intent,Notes
BROAD,sound bath,40500,1.32,LOW,20,transactional,Head term — core brand keyword; low KD is the whole opportunity
BROAD,sound bath near me,18100,1.74,LOW,,transactional,Highest-value commercial intent; implicit local signal
BROAD,singing bowls,18100,1.48,HIGH,,informational,Big head term; high commercial competition but informational intent — good blog/guide target
BROAD,tibetan singing bowl,14800,1.42,HIGH,8,informational,Strong volume; high commercial comp but low KD — instrument discovery term
BROAD,singing bowl meditation,12100,1.42,HIGH,16,informational,Overlaps with sound bath; good for pillar content
BROAD,sound bowls,12100,1.34,HIGH,,transactional,Popular variant spelling; transactional — product + service
BROAD,sound healing,9900,1.70,LOW,19,informational,Second most important head term; service category
BROAD,sound therapy,8100,2.41,LOW,44,informational,Higher KD than sound bath but high CPC signals strong buyer intent
BROAD,crystal singing bowl,5400,1.84,HIGH,,transactional,Instrument term with high commercial competition; ties to format filtering
BROAD,tibetan bowl meditation,5400,1.72,LOW,,informational,Lower competition variant of tibetan singing bowl
BROAD,sound bath meditation,3600,1.25,LOW,10,informational,Variant combining both keywords; easy to rank
BROAD,sound meditation,3600,2.28,LOW,19,informational,Broader category term; good for informational content
BROAD,biofield tuning,2400,0.67,LOW,4,informational,Niche specialty format; very low KD — easy ranking target
BROAD,sound healing therapy,1300,1.35,LOW,48,informational,Higher KD than others; clinical framing — useful for E-E-A-T content
BROAD,sound bath benefits,1300,1.35,LOW,21,informational,Informational head query; strong pillar page candidate
BROAD,vibrational healing,1000,1.03,LOW,10,informational,Broader wellness term; low KD
BROAD,crystal bowl meditation,480,1.69,HIGH,,informational,Format-specific instrument term
BROAD,sound bath experience,320,0.17,LOW,17,commercial,Low CPC but commercial intent — first-timer landing page
BROAD,healing sound bath,260,1.51,LOW,21,informational,
BROAD,sound journey,110,,,LOW,,informational,Low volume but used by high-end practitioners as premium framing
CITY,sound bath new york,1600,2.25,MEDIUM,8,navigational,Highest volume city term; KD 8 = very winnable
CITY,sound bath los angeles,880,2.47,LOW,,commercial,LA is most competitive editorially but low competition level
