Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"Mind Body Sound Healing Collective","San Francisco Bay Area","Berkeley/Orinda/SF","Sound baths, mindfulness, music therapy, health coaching","Not published","Not published",https://www.mindbodysoundcollective.com/,"Bay-Area-wide service rather than SF-specific; blends neuroscience, mindfulness, the Safe & Sound Protocol; also offers corporate wellness programs; 5.0 rating (5 reviews)","Google Maps",Active
"Jennifer Barone (Luminous Portals)",San Francisco,"North Beach","Restorative yoga + sound bath (gongs, Reiki-infused tuning forks)","Not published","Not published","https://www.eventbrite.com/e/restorative-soundbath-luminous-portals-with-jennifer-barone-tickets-1990997965511","Monthly recurring series, primarily at 1 Jones St; occasional special ticketed events at Grace Cathedral; same venue also hosts other facilitators (e.g. Maryzelle's 'Summer Solstice SoundBath')","Eventbrite (Tavily search)",Active
"Sound Healing Project at The Living Church SF",San Francisco,Unknown,"Sound bath (multiple weekly formats)","60-90 min","Not published","https://www.eventbrite.com/e/sound-bath-saturdays-with-sound-healing-project-at-the-living-church-sf-tickets-1988433305544","The Living Church SF runs very frequent recurring programming - Yoga + Sound Bath every Tuesday, Sound Bath Saturdays, Ceremony & Soundscape Wed/Fri; one of the most active SF venues found","Eventbrite (Tavily search)",Active
"Sound Bath at 1 Hotel San Francisco",San Francisco,Unknown,"Sound bath (hotel wellness event)","60 min","$49.87","https://www.eventbrite.com/e/sound-bath-at-1-hotel-san-francisco-tickets-1982394349865","Hotel runs the event directly rather than an outside practitioner - same pattern as My Little Magic Shop in the NYC batch","Eventbrite (Tavily search)",Active
"Sound Bath Meditation at The Episcopal Church of the Incarnation",San Francisco,Unknown,"Sound bath meditation","90 min","Not published","https://www.eventbrite.com/e/sound-bath-meditation-special-event-tickets-1986625690920","Church runs the event directly","Eventbrite (Tavily search)",Active
"Anna B. & Joseph I. at Rae Studios",San Francisco,Unknown,"Sound bath + somatic release + Reiki","2 hrs","Not published","https://www.eventbrite.com/e/sound-bath-somatic-release-reiki-healing-experience-w-anna-b-joseph-i-tickets-1542578105639","This specific Aug 2025 date has passed, but Rae Studios is an active venue worth checking for current dates","Eventbrite (Tavily search)","Active - check for current dates"
"Full Moon Sound Bath with Restorative Yoga & Reiki Healing",San Francisco,Unknown,"Reiki + restorative yoga + sound bath","Not published","Not published","https://www.eventbrite.com/e/full-moon-sound-bath-with-restorative-yoga-reiki-healing-tickets-1990869326749","Venue at 54 Washburn St; organizer name not identified after one search attempt - left as venue-only entry per the chase/skip pattern","Eventbrite (Tavily search)","Active - needs organizer name"
"Healing Journey De Tu Alma",Berkeley,Berkeley,"Sound bath + cacao ceremony","90 min","Not published","https://www.eventbrite.com/e/self-love-sound-bath-tickets-1981293475119","Recurring organizer at 2718 Telegraph Ave #201, Berkeley; East Bay rather than SF proper","Eventbrite (Tavily search)","Active - East Bay"
"The Green Yogi",Berkeley,Berkeley,"Sound bath + live music collaboration","Not published","Not published","https://www.eventbrite.com/d/ca--oakland/sound-bath","'First Friday Sound Bath with Will Magid (Balkan Bump)' - a musician collaboration series; East Bay rather than SF proper","Eventbrite (Tavily search)","Active - East Bay"
"West Berkeley Family Wellness Center",Berkeley,"West Berkeley","Sound bath workshop","Not published","Not published","https://www.eventbrite.com/d/ca--oakland/soundbath?page=6","Recurring Monday programming ('Collective Rest Sound Bath' / 'Interactive Sound Bath Workshop'); East Bay rather than SF proper","Eventbrite (Tavily search)","Active - East Bay"
