Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"Soundawn Sound Bath Center",Brooklyn,Williamsburg,"Crystal bowls, gong, chimes","30-60 min","Private: see booking page; Corporate: from $1,150/group (up to 20)",https://soundawn.com/,"High-profile (performed at Radio City Music Hall 2026); also serves NJ; offers virtual/Zoom sessions; 5.0 rating (24 reviews)","Google Maps + website",Active
"Windsong Sound Bath",Brooklyn,Fort Greene,"Sound bath (instruments unspecified)","Not published","Not published",https://windsongsoundbath.com/,"Thin website; contact via email/phone for booking; 5.0 rating (30 reviews)","Google Maps + website","Active - needs pricing follow-up"
"Surya Sound Temple",Brooklyn,Bushwick,"Sound meditation / music-yoga space","Not published","Starts at $99 (Deep Meditation Sound Experience, per Eventbrite)",https://www.suryasoundtemple.org/,"Booking runs through Instagram/Facebook DM and Eventbrite rather than the main website; 4.8 rating (16 reviews)","Google Maps + website + Eventbrite","Active - pricing confirmed via Eventbrite"
"OHM Center",Manhattan,"Upper East Side","Sound Bath Classes (group)","45-60 min","$35-$50 per class (packages available)",http://www.ohmcenter.com/,"Most popular class type at this center; 27 classes/week; full weekly schedule published on site; 4.9 rating (91 reviews)","Google Maps + website","Active - strong data"
"WolfMother Yoga",Brooklyn,Bushwick,"Sound bath (combined with heated yoga/breathwork)","Not published","Not published",https://wolfmotheryoga.com/,"Primarily a yoga studio; sound bath is one of several offerings; 5.0 rating (10 reviews)","Google Maps + website","Active - secondary fit"
"Let's Heal NYC",Brooklyn,"Little Caribbean","Reiki + sound healing (singing bowls, gongs, drums)","Not published","Not published",https://letshealnyc.com/,"Reiki-primary practice; sound healing is the secondary offering; 5.0 rating (20 reviews)","Google Maps + website","Active - secondary fit"
"Maha Rose",Brooklyn,"Columbia St Waterfront District","Varies by facilitator (gong meditation confirmed; crystal/energy work)","Not published","Not published",http://maharose.com/,"Multi-practitioner healing studio; confirmed active sound bath events as of June 2026 (e.g. June 10 'Sound Bath and Energy Cleansing'); 4.9 rating, 129 reviews - highest review count in this pilot","Google Maps + website","Active - strong activity signal"
"SoundDreamsNYC",Brooklyn,Williamsburg,"Sound bath (unspecified)",Unknown,Unknown,"Phone only: +1 917-324-8314","No website found; Google Maps-only presence; 5.0 rating (5 reviews) but current activity unverified","Google Maps","Needs verification"
"Crystal Tones Soundbath (Buffalo Firefly)",Brooklyn,Greenpoint,"Crystal Tones sound bath + Reiki","Not published","Not published; $150 Reiki gift-card promo seen",https://buffalofirefly.com/pages/classes-events-current-nyc,"Found via web search, not Google Maps; active dated schedule (named sessions through May 2026); located at 55 Nassau Ave #2E, Brooklyn","Web search (Tavily)","Active - found outside Google Maps"
"Sound Mind Center / Sound Mind Live",Brooklyn,Unknown,"Sound Bath Meditation + Reiki Immersion","Not published","Not published",https://www.tixr.com/groups/soundmindlive/events/sound-bath-meditation-reiki-immersion-118338,"Found via web search; ticketed via Tixr rather than Eventbrite/Mindbody; neighborhood not yet confirmed","Web search (Tavily)","Needs verification"
"Katherine Hamer / Singing Bowl Studio",Manhattan,"Upper West Side","Tibetan singing bowls",N/A,N/A,http://katherinehamer.com/,"SKIPPED: website explicitly marks individual sessions, small groups, and events as 'CURRENTLY UNAVAILABLE' - only online training is currently active","Google Maps + website","Inactive - skipped per flag criteria"
"The Singing Bowl Sound Bath Studio LLC",Manhattan,"East Village",Singing bowls,N/A,N/A,"https://www.facebook.com/MelRioAndTheSingingBowlSoundBathStudio/","FLAGGED: Facebook-only presence, page not fetchable (login wall); Maps listing itself notes an address correction; needs manual check","Google Maps","Needs manual verification"
"Sound Spiral Healing",Brooklyn,"Unknown (East NY / Canarsie area)","Sound healing + Thai bodywork",N/A,N/A,"https://soundspiralhealing.wordpress.com/","FLAGGED: website extraction failed (404 on guessed subpage); needs manual check of homepage","Google Maps","Needs manual verification"
"Ananda Shala Healing",Brooklyn,Williamsburg,"Yoga (sound bath NOT confirmed)",N/A,N/A,N/A,"EXCLUDED: surfaced only via Google's 'people also search' adjacency; own Maps description calls it a trauma-informed yoga school with no mention of sound; web search found no evidence they run sound baths","Google Maps (unconfirmed)","Excluded - insufficient evidence"
"Rising Roots Healing (Rooted In Stillness)",Brooklyn,"Williamsburg/Bushwick border","Crystal singing bowls + guided meditation + Reiki","90 min","Starts at $23.18","https://www.eventbrite.com/e/rooted-in-stillness-guided-meditation-sound-bath-reiki-experience-nyc-tickets-1989730212628","Recurring Saturdays 1:00-2:30pm at 4 Evergreen Ave Unit 107; listed as 'Almost full' on Eventbrite - strong demand signal; organizer confirmed via Eventbrite event page","Eventbrite (Tavily search+extract)","Active - organizer confirmed"
"My Little Magic Shop (Sound Bath for Expression and Voice)",Manhattan,"West Side","Sound bath (crystal singing bowls, chimes, voice-focused)","90 min","Not published","https://www.eventbrite.com/e/sound-bath-for-expression-and-voice-tickets-1986642814136","Recurring Sundays 5pm; venue itself is the organizer rather than an outside practitioner; also cross-listed on Fever (feverup.com)","Eventbrite (Tavily search)","Active - organizer confirmed"
"Caroll Taveras (Sound Bath / Deep Relaxation and Rejuvenation)",Brooklyn,"Sunset Park","Sound bath / deep relaxation","Not published","Check ticket price on event page (per Eventbrite)","https://www.eventbrite.com/e/sound-bath-deep-relaxation-and-rejuvenation-tickets-1991889222284","Recurring Wednesdays 7pm at 133 29th St 2nd floor; organizer confirmed via Eventbrite search snippet","Eventbrite (Tavily search)","Active - organizer confirmed"
"Attentive Wellness (Sound Bath & Journaling: Summer Solstice)",Brooklyn,"Boerum Hill / Smith St area","Sound bath + journaling","75 min","Not published","https://www.eventbrite.com/e/sound-bath-journaling-brooklyn-summer-solstice-edition-tickets-1991701725476","This specific date sold out, but organizer is well-established: 244 followers, 176 events, hosting 3 years - worth checking for future recurring dates","Eventbrite (Tavily search+extract)","Active - organizer confirmed, established host"
"Marta Hernández (Weekly Deep Relaxation Sound Bath)",Brooklyn,Williamsburg,"Sound Healing Bath","Not published","Paid - via Eventbrite or Venmo (exact amount not shown on page)","https://www.eventbrite.com/e/weekly-deep-relaxation-sound-bath-in-brooklyn-tickets-1755674201799","Recurring every Monday 7:30pm at 330 Wythe Ave; individual practitioner, newer host (62 followers); organizer confirmed via Eventbrite event page","Eventbrite (Tavily search+extract)","Active - organizer confirmed"
"Brooklyn Greenway Initiative Sound Baths",Brooklyn,"Multiple (Greenway Botanical Garden; Brooklyn Bridge Park Pier 6)","Sound bath (singing bowls, gong, harmonium, vocals)","60 min",Free,"https://www.eventbrite.com/o/brooklyn-greenway-initiative-2339390903","Nonprofit-run free outdoor sound bath program with multiple recurring dates/venues; different model than private practitioners - good for an outdoor/free segment of the directory","Eventbrite (Tavily search)","Active - nonprofit/free program"
