Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"Yoga Sound Bath (Lake View)",Chicago,"Lake View","Sound bath, sound-infused yoga, hypnotherapy","Not published","Not published",https://www.yogasoundbath.com/,"Original/flagship location; advance registration required for group classes; 5.0 rating (12 reviews)","Google Maps + website",Active
"Yoga Sound Bath (West Loop / Fulton Market)",Chicago,"West Loop","Crystal singing bowls, gongs, chimes, guided meditation","Not published","Not published",https://www.yogasoundbath.com/group-events,"Second location of the same business above (845 W Fulton Market Ste 213); newer listing, 5.0 rating (2 reviews); also offers corporate team-building sessions","Google Maps + website",Active
"Saints & Angels Healing Through Sound",Chicago,"Old Town / Near North Side","Sound bath, crystal bowls, hypnotic sound journeys, sound healing retail","Community: not specified; Private: 70-90 min","Community sound bath $60 at door / $50 online advance; gift certificates hint at Private ~$222, Couples ~$333",http://www.saints-angels.com/,"Strongest dedicated sound bath business found in Chicago - full retail + studio + livestream/on-demand library + membership tiers (Drift Pass, Sanctuary, Inner Circle); 5.0 rating (71 reviews, highest in this batch)","Google Maps + website",Active
"Sunflower Sounds (Jillian Francis)",Chicago,"Irving Park","Intuitive vibrational sound therapy, guided meditation","Not published","Not published",https://www.jillianfrancismusic.com/intuitive-healing,"Practitioner is also a singer/songwriter and certified medium; private 1:1 sessions at a home studio; 5.0 rating (16 reviews) - recurring 'people also search' neighbor for other Chicago listings","Google Maps + website",Active
"Healing Vibes Sound Events",Chicago,"Lake View","Sound healing events","Not published","Not published",N/A,"No website found, phone contact only; multi-category listing (life coach, support group, wellness program)","Google Maps","Active - thin data"
"Star Sound Baths",Chicago,"Norwood Park","Sound bath meditation","60 min","Not published","https://www.eventbrite.com/cc/chicago-sound-baths-2714359","Regional operator running a recurring 'Chicago Sound Baths' Eventbrite collection; also serves Skokie, Arlington Heights, Lake Forest, Naperville, Elgin, and Hinsdale (suburbs, not counted separately here)","Eventbrite (Tavily search)",Active
"Lisa Mara Love",Chicago,Unknown,"Sound bath (seasonal/themed events)","Not published","Not published","https://www.eventbrite.com/e/mothers-day-sound-bath-a-celebration-of-love-tickets-1986845134281","Hosted 'Mother's Day Sound Bath: A Celebration of Love' at The Space Community Studio","Eventbrite (Tavily search)",Active
"Jay Taylor / Current - Wellness in the Sky",Chicago,"Loop (Willis Tower)","Sound bath meditation","Not published","Not published","https://www.eventbrite.com/e/wellness-in-the-sky-sound-bath-meditation-tickets-1990011670476","Notable venue: hosted on the 99th floor of Willis Tower at Skydeck Chicago - strong differentiator for marketing/photos","Eventbrite (Tavily search)",Active
"Katie Petersen - Summer Solstice Sound Bath",Chicago,Unknown,"Sound bath (seasonal/themed events)","Not published","Not published","https://www.eventbrite.com/e/summer-solstice-sound-bath-tickets-1988880518169","Hosted at Taylor Biagi Brazilian Jiu Jitsu - unconventional fitness-studio venue partnership","Eventbrite (Tavily search)",Active
"Sound Bath Live",Chicago,Unknown,"Crystal bowls + live music","Not published","Not published","https://www.eventbrite.com/e/sound-bath-meditation-crystal-bowls-live-music-chicago-tickets-1988288419185","At 1229 N North Ave; combines crystal bowl sound bath with live music performance","Eventbrite (Tavily search)",Active
"The Last Sunday Sound Bath",Chicago,"Goose Island / Old Norwood Park","Sound bath (recurring monthly series)","Not published","Not published","https://www.eventbrite.com/d/il--chicago--maplewood/sound-bath","Recurring monthly series seen at multiple venues including We The People Fitness Studio (Goose Island) and a separate Old Norwood Park date; organizer name not identified","Eventbrite (Tavily search)","Active - needs organizer name"
"Jacqui Pugh",Chicago,"East Pilsen","Life coaching + sound healing + meditation","Not published","Not published",http://www.jacquipugh.com/,"Primary practice is life coaching/NLP (relationships, career, divorce); sound healing is a secondary modality, not the focus; 5.0 rating (34 reviews)","Google Maps + website","Active - secondary fit"
