Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"Sound Healing with Danielle (Danielle Leigh Glenn)",Austin,Brentwood,"Breathwork + sound bath","Not published","Not published",http://www.soundhealingwithdanielle.com/,"Individual sessions; somatic energy release framing; legal entity 'Danielle Leigh Glenn PLLC' appears as a separate but likely identical Maps listing","Google Maps + website",Active
"Soul Wanderess Sound Healing",Austin,Unknown,"Holographic Reiki-infused sound healing, voice work","Not published","Not published",https://soulwanderess.com/,"Uses voice + instruments for chakra balancing; offers group and 1:1 sessions plus vocal activation work; 5.0 rating (28 reviews)","Google Maps + website",Active
"Sound Healing of Austin",Austin,Unknown,"Sound healing","Not published","Not published",N/A,"Found via 'people also search' (8 reviews); not yet independently verified with its own site visit","Google Maps","Active - needs verification"
"Zen Healing Arts",Austin,Unknown,"Sound healing","Not published","Not published",N/A,"Found via 'people also search' (6 reviews); not yet independently verified","Google Maps","Active - needs verification"
"The Soul's Heartbeat",Austin,Unknown,"Sound healing","Not published","Not published",N/A,"Found via 'people also search' (5 reviews); not yet independently verified","Google Maps","Active - needs verification"
"Innerhouse Wellness Studios",Austin,Unknown,"Sound bath (recurring Saturdays)","Not published","Not published","https://www.eventbrite.com/e/saturday-sound-bath-tickets-1990589853838","At 4043 Steck Ave; recurring weekly series","Eventbrite (Tavily search)",Active
"Yoga Pod Austin",Austin,Unknown,"Sound bath (themed/seasonal events)","Not published","Not published","https://www.eventbrite.com/e/lunar-new-year-sound-bath-tickets-1980145717144","Hosted 'Lunar New Year Sound Bath' at 9333 Research Blvd ste 200","Eventbrite (Tavily search)",Active
"W Austin (hotel)",Austin,Downtown,"Sound bath (hotel wellness event)","Not published","Not published","https://www.eventbrite.com/e/full-moon-sound-bath-at-w-austin-tickets-1835594886719","Hotel runs the event directly - same pattern as 1 Hotel SF and My Little Magic Shop in earlier cities","Eventbrite (Tavily search)",Active
"Flow Yoga Austin - North Loop",Austin,"North Loop","Yoga Nidra + sound bath","Not published","Not published","https://www.eventbrite.com/e/nidra-and-sound-bath-tickets-1979782119614","Recurring series at this studio location","Eventbrite (Tavily search)",Active
"Casa de Luz Village",Austin,Zilker,"Hypnosis + music/sound journey","Not published","Check ticket price on event","https://www.eventbrite.com/d/tx--austin/sound-bath?page=3","'When the Soul Remembers: A Full Moon Hypnosis and Music Journey' - multi-part series (Part 1 found)","Eventbrite (Tavily search)",Active
"Vinaigrette Austin",Austin,Unknown,"Sound bath (restaurant-hosted seasonal event)","Not published","Not published","https://www.eventbrite.com/e/summer-solstice-sound-bath-live-under-the-oak-tickets-1991482992239","'Summer Solstice Sound Bath: Live Under the Oak' - unconventional restaurant venue partnership","Eventbrite (Tavily search)",Active
"Punch Bowl Social Austin Domain",Austin,Domain,"Sound bath + matcha tasting","Not published","Not published","https://www.eventbrite.com/d/tx--austin/sound-bath","'Matcha & Melodies' - entertainment venue (bar/games) partnership, unconventional pairing","Eventbrite (Tavily search)",Active
