Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"The Integratron",Landers,Landers,"Sound bath in an acoustically engineered dome with crystal bowls","60 min","Not published; gift certificates available",http://integratron.com/,"THE flagship destination for this entire region - legendary domed structure built for acoustics/rejuvenation; 839 reviews, by far the highest review count in this entire 9-city project; closed Jan/Jul/Aug; private sessions booked via email","Google Maps + website",Active
"Joshua Tree Sound Baths",Joshua Tree,Joshua Tree,"Sound bath","Not published","Not published",N/A,"5.0 rating (27 reviews); found via 'people also search', not yet independently verified with a site visit","Google Maps","Active - needs verification"
"The Sound Stage",Joshua Tree,Joshua Tree,"Sound bath","Not published","Not published",N/A,"4.6 rating (56 reviews); found via 'people also search', not yet independently verified","Google Maps","Active - needs verification"
"WakeUpDreamer (Kristina) - Joshua Tree & Palm Springs",Joshua Tree,"Joshua Tree / Palm Springs","Private desert sound bath, crystal singing bowls","Not published","Not published",https://www.wakeupdreamer.org/palms-springs-or-joshua-tree-sound-bath-meditation,"Separate Google Maps listing from the same practitioner found in the LA batch (Kristina/WakeUpDreamer); 5.0 rating (41 reviews) specific to this service area","Google Maps + website",Active
"Elizabeth Wyatt (Sacred Spiral Adventures)",Joshua Tree,Joshua Tree,"Yoga + sound baths + intuitive healing","Not published","Not published",https://elizabethwyattyoga.com/,"7+ years based in Joshua Tree; also leads broader 'Sacred Spiral Adventures' retreats combining yoga, sound, and desert immersion","Google Maps + website",Active
"The Gong Room (Yucca Valley)",Yucca Valley,Yucca Valley,"GongFusion (TM) Soundbath - 12 gongs, crystal bowls, ambient drone","Not published","Not published",https://sound-bath.com/joshuatree,"Opened 2025; same sound-bath.com operator (Jamie Bechtold) as The Soundbath Center in the LA batch, expanding into the high desert","Web search (Tavily)",Active
"Joshua Tree Astronomy Arts Theater",Joshua Tree,Joshua Tree,"Sound bath (astronomy/arts venue crossover)","Not published","Not published",N/A,"4.9 rating (7 reviews); unique venue combining astronomy and arts programming with sound healing","Google Maps","Active - needs verification"
"Joshua Tree Retreat Center",Joshua Tree,Joshua Tree,"Sound bath (retreat venue)","Not published","Not published",N/A,"Named as a top local recommendation in a community Facebook thread alongside The Gong Room and Integratron; not yet independently verified","Web search (Tavily)","Active - needs verification"
"Yucca Shala",Yucca Valley,Yucca Valley,"Sound bath (retreat/studio venue)","Not published","Not published",N/A,"Named as a top local recommendation in the same Facebook thread; not yet independently verified","Web search (Tavily)","Active - needs verification"
"Gaia Villa",Yucca Valley,"Yucca Valley / Joshua Tree","Multi-day retreat: sound bath/meditation, stargazing, cacao ceremony","Multi-day","Not published",N/A,"Hosts a Sept 1-4, 2026 multi-day retreat including a sound bath component; retreat-format rather than single-session","Web search (Tavily)","Active - retreat format"
"The Integration Dome",Joshua Tree,Joshua Tree,"Sacred Sound Retreat (dome-based)","Multi-day","Not published",N/A,"Separate venue from The Integratron despite the similar name; running a 'Sacred Sound Retreat' nearly sold out per social media; needs a direct site visit to confirm details","Web search (Tavily)","Needs verification - name collision risk with The Integratron"
