Task Name,Section/Column,Description,Priority
sound bath,Broad,Vol: 40500 | CPC: $1.32 | Competition: LOW | KD: 20 | Intent: transactional | Head term — core brand keyword; low KD is the whole opportunity,High
sound bath near me,Broad,Vol: 18100 | CPC: $1.74 | Competition: LOW | KD: — | Intent: transactional | Highest-value commercial intent; implicit local signal,High
singing bowls,Broad,Vol: 18100 | CPC: $1.48 | Competition: HIGH | KD: — | Intent: informational | Big head term; high commercial competition but good blog/guide target,High
tibetan singing bowl,Broad,Vol: 14800 | CPC: $1.42 | Competition: HIGH | KD: 8 | Intent: informational | Strong volume; high commercial comp but low KD — instrument discovery term,High
singing bowl meditation,Broad,Vol: 12100 | CPC: $1.42 | Competition: HIGH | KD: 16 | Intent: informational | Overlaps with sound bath; good for pillar content,High
sound bowls,Broad,Vol: 12100 | CPC: $1.34 | Competition: HIGH | KD: — | Intent: transactional | Popular variant spelling; transactional,High
sound healing,Broad,Vol: 9900 | CPC: $1.70 | Competition: LOW | KD: 19 | Intent: informational | Second most important head term,High
sound therapy,Broad,Vol: 8100 | CPC: $2.41 | Competition: LOW | KD: 44 | Intent: informational | Higher KD but high CPC signals strong buyer intent,High
crystal singing bowl,Broad,Vol: 5400 | CPC: $1.84 | Competition: HIGH | KD: — | Intent: transactional | Instrument term; ties to format filtering,Medium
tibetan bowl meditation,Broad,Vol: 5400 | CPC: $1.72 | Competition: LOW | KD: — | Intent: informational | Lower competition variant of tibetan singing bowl,Medium
sound bath meditation,Broad,Vol: 3600 | CPC: $1.25 | Competition: LOW | KD: 10 | Intent: informational | Easy to rank,Medium
sound meditation,Broad,Vol: 3600 | CPC: $2.28 | Competition: LOW | KD: 19 | Intent: informational | Broader category term,Medium
biofield tuning,Broad,Vol: 2400 | CPC: $0.67 | Competition: LOW | KD: 4 | Intent: informational | Niche specialty format; very low KD — easy ranking target,Medium
sound healing therapy,Broad,Vol: 1300 | CPC: $1.35 | Competition: LOW | KD: 48 | Intent: informational | Higher KD; clinical framing useful for E-E-A-T content,Medium
sound bath benefits,Broad,Vol: 1300 | CPC: $1.35 | Competition: LOW | KD: 21 | Intent: informational | Strong pillar page candidate,Medium
vibrational healing,Broad,Vol: 1000 | CPC: $1.03 | Competition: LOW | KD: 10 | Intent: informational | Broader wellness term; low KD,Medium
crystal bowl meditation,Broad,Vol: 480 | CPC: $1.69 | Competition: HIGH | KD: — | Intent: informational | Format-specific instrument term,Low
sound bath experience,Broad,Vol: 320 | CPC: $0.17 | Competition: LOW | KD: 17 | Intent: commercial | Low CPC but commercial intent — first-timer landing page,Low
healing sound bath,Broad,Vol: 260 | CPC: $1.51 | Competition: LOW | KD: 21 | Intent: informational,,Low
sound journey,Broad,Vol: 110 | CPC: — | Competition: LOW | KD: — | Intent: informational | Used by high-end practitioners as premium framing,Low
sound bath new york,City,Vol: 1600 | CPC: $2.25 | Competition: MEDIUM | KD: 8 | Intent: navigational | Highest-volume city term; KD 8 = very winnable,High
sound bath los angeles,City,Vol: 880 | CPC: $2.47 | Competition: LOW | KD: — | Intent: commercial | Most competitive city editorially,High
sound bath chicago,City,Vol: 880 | CPC: $2.95 | Competition: MEDIUM | KD: — | Intent: navigational | Zero editorial coverage = easiest market to own,High
sound bath atlanta,City,Vol: 590 | CPC: $7.83 | Competition: LOW | KD: — | Intent: commercial | Highest CPC of all city terms — strongest buyer intent,High
sound bath san diego,City,Vol: 590 | CPC: $2.01 | Competition: MEDIUM | KD: — | Intent: commercial | Tied with Atlanta on volume; strong wellness market,High
sound bath austin,City,Vol: 480 | CPC: $1.43 | Competition: LOW | KD: — | Intent: commercial | No editorial competition at all,High
