Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"Sound Bath Los Angeles / One Conduit (Carlina Baldonado Sullivan)",Los Angeles,Hollywood,"Crystal bowls, gong, group/private/corporate sound bath","Not published","Not published",https://www.soundbathla.com/,"Wide service area: Santa Barbara, Ojai, Ventura, Malibu, Beverly Hills, LA, WeHo, Santa Monica, Pasadena; 5.0 rating (6 reviews)","Google Maps + website",Active
"WakeUpDreamer (Kristina)",Los Angeles,Koreatown,"Sound bath, breathwork, yoga","Not published","Not published",https://www.wakeupdreamer.org/,"Also serves Joshua Tree and Palm Springs (overlaps another MVP city); heavily credentialed; corporate clients include NASA, Meta, L'Oreal, Universal NBC; 5.0 rating (18 reviews)","Google Maps + website",Active
"Yogi Dave Sound Bath",Tarzana,"San Fernando Valley","Gong, crystal singing bowls","Not published","$20 advance / $25 day-of",https://yogidave.eventbrite.com/,"Recurring Sundays 7pm at CrystalArts Dance Studio, 18462 Clark St; 5.0 rating (1 review, new listing)","Google Maps",Active
"Shakti Sound Bath (Ana Netanel)",Los Angeles,Brentwood,"Sound bath, sound healing, Kundalini Yoga","Not published","Not published",http://shaktisoundbath.com/,"20+ years experience; serves Brentwood, Santa Monica, West LA, Malibu, WeHo; also an active Eventbrite organizer (cross-confirmed); 4.6 rating (37 reviews)","Google Maps + website + Eventbrite",Active
"The Soundbath Center (Jamie Bechtold)",Los Angeles,"Eagle Rock","Gong-focused sound bath","Not published","Not published",https://sound-bath.com/,"Major LA institution: sound baths since 2004, 4,000+ public events since 2015; also offers practitioner certification training and mobile events; travels with 7 gongs + 10 crystal bowls; rating is polarized - 3.8 (41 reviews, 12 of them 1-star)","Google Maps + website",Active
"Well & Whole (Gaia)",Los Angeles,"Westchester / Playa area","Yoga therapy, sound healing, Reiki","Varies by offering","Classes/workshops from $35; private sessions from $124; day retreats from $244",https://www.wellandwhole.life/,"Confirmed published pricing tiers - rare among this batch; 5.0 rating (19 reviews)","Google Maps + website",Active
"The Sound Healing Studio",Los Angeles,Koreatown,"Gong Room sound baths + alchemy bowl sales + practitioner training","Not published","Not published (bowls for sale $1,000-$3,500+)",https://www.thesoundhealingstudio.com/,"Hybrid business model: weekly public sound baths, retail alchemy singing bowls, and sound healer certification training; 5.0 rating (25 reviews)","Google Maps + website",Active
"Pasadena Sound Therapy and Music Healing",Pasadena,Pasadena,"Crystal bowls, frame drums, handpan, chimes","Not published","Contact for pricing (private and large groups)",https://pasadenasoundtherapy.com/,"Private sessions (1-10 people) plus regular weekly group sound baths; rating 5.0, review count 30-38 depending on source","Google Maps + website + Yelp",Active
"Black Earth Wellness Sound Healing",Pasadena,Pasadena,"Harmonics / vibrational sound therapy","Not published","Not published",https://blackearthwellness.org/,"5.0 rating (5 reviews); booking via contact form only","Google Maps + website",Active
"Starla Frequency / Arrivo Collective (Melissa & Alex)",Los Angeles,Unknown,"Crystal bowls, voice, scent, breath, storytelling","1 hr","Starting at $300 (private small group or events)",https://starlafrequency.com/,"NOTE: business appears to have rebranded from 'Starla Frequency' to 'Arrivo Collective' - same site, new brand name; 5.0 rating (6 reviews)","Google Maps + website",Active
"Zenmi Sound (Zenmi, LLC)",Los Angeles,Unknown,"Breathwork + immersive sound bath","60 min","$175 for 1-2 people",https://app.acuityscheduling.com/schedule.php?owner=32020909,"Booking confirmed via Acuity Scheduling; no Google Maps listing matched directly under this title; found via people-also-search + web search","Web search (Tavily)",Active
"Rumi Sound Healing (Roxanne Azar)","Woodland Hills",Unknown,"Sound healing","Not published","Not published",https://rumi-healing.com/,"Practitioner certified at Himalayan Yoga Academy, Kathmandu, 2019; no rating data captured","Google Maps + website",Active
