Name,City,Neighborhood,Modality,Duration,Price,Booking URL,Notes,Source,Status
"Brooke Lyons Sound Healing",Portland,"North Portland","Crystal singing bowl sound baths","Not published","Not published",https://www.brooke-lyons.com/,"Cross-confirmed via both Google Maps and an Eventbrite-listed 'Spring Equinox Sound Bath' at All Heart Yoga; also offers professional sound bath certification through Quantum Sound Method; 5.0 rating (30 reviews)","Google Maps + website + Eventbrite",Active
"Healing Tiger Reiki, Sound & Chakra Balancing",Portland,"South Portland","Reiki + sound healing + chakra balancing","Not published","Not published",https://htreiki.com/,"Reiki is the primary practice; sound healing is secondary; sessions in-person and online; 5.0 rating (8 reviews)","Google Maps + website","Active - secondary fit"
"Hails Heals Massage, Bodywork and Sound Healing",Portland,"Southeast Portland","Massage + bodywork + sound healing","Not published","Not published",http://www.hailsheals.com/,"Massage is the primary practice; sound healing and ceremonial work are secondary; 5.0 rating (20 reviews)","Google Maps + website","Active - secondary fit"
"Triniti Healing (Nicole Alcyon)",Portland,"Southeast Portland","Hypnotherapy + sound healing + chakra balancing","Not published","Not published",http://www.trinitihealing.com/,"Practicing since 2004; offers a combined 'Hypno-Chakra Therapy' service plus standalone sound baths with crystal bowls, gongs, Tibetan bowls; 4.4 rating (7 reviews)","Google Maps + website",Active
"Nikki Caballero Sound Healing",Portland,"Southeast Portland","Sound healing + hypnosis + energy work","Not published","Not published",http://www.nikkixcaballero.com/,"In-home sessions available outside normal hours by request; 5.0 rating (8 reviews)","Google Maps + website",Active
"Laura Li Fong Yee",Portland,Unknown,"Crystal bowl + gong sound bath","Not published","Not published","https://www.eventbrite.com/e/crystal-bowl-sound-bath-release-relax-refresh-tickets-1974945633554","Active organizer across multiple venues (SomaSpace, Yoga Refuge); runs a notable 'Gong Sound Bath for Those in Recovery' - recovery-focused niche offering","Eventbrite (Tavily search)",Active
"Lighthouse Community Yoga PDX",Portland,Lents,"Reiki + sound bath + guided meditation","Not published","Not published","https://www.eventbrite.com/d/or--portland/sound-healing","'Energy, Sound + Soul' series with 5+ recurring dates listed","Eventbrite (Tavily search)",Active
"Awakenings Wellness Center",Portland,Buckman,"Sound bath (Raven Medicine Healing Sound Bath series)","Not published","Not published","https://www.eventbrite.com/d/or--portland/sound-healing?page=2","Recurring series with 5+ dates listed; organizer name not identified beyond series title","Eventbrite (Tavily search)","Active - needs organizer name"
"Lavender Farm Sound Bath & U-Pick",Portland,Unknown,"Sound bath (farm event)","Not published","Not published","https://www.eventbrite.com/d/or--portland/sound-bath","At 412 NW Couch St; unconventional farm-event pairing; organizer name not identified","Eventbrite (Tavily search)","Active - needs organizer name"
"Blue Frog Equine (Outdoor Pony Farm Series)",Portland,Unknown,"Sound bath meditation (outdoor, with horses)","Not published","Not published","https://www.eventbrite.com/d/or--portland/sound-bath","Distinctive equine-therapy-adjacent outdoor venue; organizer name not identified","Eventbrite (Tavily search)","Active - needs organizer name"
"Spiral Sound Healing (Dae Spiral)",Portland,Unknown,"Quartz crystal singing bowls, voice","Not published","Not published",https://www.spiralsoundhealing.com/,"FLAGGED INACTIVE: Google Maps listing explicitly shows status 'temporarily_closed'; excluded from active count per the flag/skip pattern","Google Maps + website","Inactive - flagged"
